voiture@maison ['voiture', 1, 1, 'maison', None]
cuisine@maison ['cuisine', 1, 2, 'maison', None]
chambre@maison ['chambre', 1, 3, 'maison', None]
salle@maison ['salle', 2, 1, 'maison', None]
avion@maison ['avion', 2, 2, 'maison', None]
nager@maison ['nager', 2, 3, 'maison', None]
savon@maison ['savon', 3, 1, 'maison', None]
eau@maison ['eau', 3, 2, 'maison', None]
retour_r@maison ['retour_r', 3, 3, 'maison', 'accueil']
voiture@accueil* ['voiture', 1, 1, 'accueil', 'maison']
bureau@extra_5317 ['bureau', 1, 1, 'extra_5317', None]
plus_r@extra_5317 ['plus_r', 1, 2, 'extra_5317', None]
homme@extra_5317 ['homme', 1, 3, 'extra_5317', None]
religion_r@extra_5317 ['religion_r', 2, 1, 'extra_5317', None]
priere@extra_5317 ['priere', 2, 2, 'extra_5317', None]
eglise@extra_5317 ['eglise', 2, 3, 'extra_5317', None]
train@extra_5317 ['train', 3, 1, 'extra_5317', None]
femme@extra_5317 ['femme', 3, 2, 'extra_5317', None]
retour_r@extra_5317 ['retour_r', 3, 3, 'extra_5317', 'accueil']
salle@accueil ['salle', 1, 2, 'accueil', 'extra_5317']
voyager@extra_2857 ['voyager', 1, 1, 'extra_2857', None]
retour_r@extra_2857 ['retour_r', 3, 3, 'extra_2857', 'accueil']
avion@accueil* ['avion', 1, 3, 'accueil', 'extra_2857']
nager@accueil* ['nager', 2, 1, 'accueil', 'extra_8775']
chaise@accueil* ['chaise', 2, 2, 'accueil', 'extra_4014']
professeur@ecole ['professeur', 1, 1, 'ecole', None]
devoir@ecole ['devoir', 1, 2, 'ecole', None]
chaise@ecole ['chaise', 1, 3, 'ecole', None]
cahier@ecole ['cahier', 2, 1, 'ecole', None]
je@ecole ['je', 2, 2, 'ecole', None]
garcon@ecole ['garcon', 2, 3, 'ecole', None]
je@ecole* ['je', 3, 1, 'ecole', None]
table@ecole ['table', 3, 2, 'ecole', None]
retour_r@ecole ['retour_r', 3, 3, 'ecole', 'accueil']
je@accueil ['je', 2, 3, 'accueil', 'ecole']
toilette@accueil* ['toilette', 3, 1, 'accueil', None]
bureau@accueil* ['bureau', 3, 2, 'accueil', None]
homme@personnes* ['homme', 1, 1, 'personnes', None]
priere@religion* ['priere', 1, 1, 'religion', None]
voyager@religion ['voyager', 1, 2, 'religion', None]
maison_r@religion ['maison_r', 1, 3, 'religion', None]
eglise@religion* ['eglise', 2, 1, 'religion', None]
salle@religion ['salle', 2, 2, 'religion', None]
avion@religion ['avion', 2, 3, 'religion', None]
voyager@religion* ['voyager', 3, 1, 'religion', None]
train@religion* ['train', 3, 2, 'religion', None]
retour_r@religion ['retour_r', 3, 3, 'religion', 'personnes']
religion_r@personnes* ['religion_r', 1, 2, 'personnes', 'religion']
parc@personnes ['parc', 1, 3, 'personnes', None]
femme@personnes* ['femme', 2, 1, 'personnes', None]
livre@hopital ['livre', 1, 1, 'hopital', None]
infirmiere@hopital ['infirmiere', 1, 2, 'hopital', None]
docteur@hopital ['docteur', 1, 3, 'hopital', None]
pacient@hopital ['pacient', 2, 1, 'hopital', None]
maladie@hopital ['maladie', 2, 2, 'hopital', None]
train@hopital ['train', 2, 3, 'hopital', None]
je@hopital ['je', 3, 1, 'hopital', None]
toilette@hopital ['toilette', 3, 2, 'hopital', None]
retour_r@hopital ['retour_r', 3, 3, 'hopital', 'personnes']
hopital_r@personnes ['hopital_r', 2, 2, 'personnes', 'hopital']
plus_r@personnes ['plus_r', 2, 3, 'personnes', None]
voyager@personnes ['voyager', 3, 1, 'personnes', None]
agence@personnes ['agence', 3, 2, 'personnes', None]
retour_r@personnes ['retour_r', 3, 3, 'personnes', 'accueil']
plus_r@accueil ['plus_r', 3, 3, 'accueil', 'personnes']
voiture@accueil ['voiture', 1, 2, 'extra_2857', None]
fin@accueil ['fin', 1, 3, 'extra_2857', None]
avion@accueil ['avion', 2, 1, 'extra_2857', None]
nager@accueil ['nager', 2, 2, 'extra_2857', None]
chaise@accueil ['chaise', 2, 3, 'extra_2857', None]
ecole_r@accueil ['ecole_r', 3, 1, 'extra_2857', None]
toilette@accueil ['toilette', 3, 2, 'extra_2857', None]
retour_r@extra_8775 ['retour_r', 3, 3, 'extra_8775', 'accueil']
bureau@accueil ['bureau', 1, 1, 'extra_8775', None]
lieux_r@accueil ['lieux_r', 1, 2, 'extra_8775', None]
homme@personnes ['homme', 1, 3, 'extra_8775', None]
religion_r@personnes ['religion_r', 2, 1, 'extra_8775', None]
priere@religion ['priere', 2, 2, 'extra_8775', None]
eglise@religion ['eglise', 2, 3, 'extra_8775', None]
train@religion ['train', 3, 1, 'extra_8775', None]
femme@personnes ['femme', 3, 2, 'extra_8775', None]
retour_r@extra_4014 ['retour_r', 3, 3, 'extra_4014', 'accueil']
universite@personnes ['universite', 1, 1, 'extra_4014', None]
