maison_r@maison ['maison_r', 1, 1, 'maison', None]
cuisine@maison* ['cuisine', 1, 2, 'maison', None]
chambre@maison* ['chambre', 1, 3, 'maison', None]
salle@maison ['salle', 2, 1, 'maison', None]
avion@maison ['avion', 2, 2, 'maison', None]
voyager@maison ['voyager', 2, 3, 'maison', None]
savon@maison* ['savon', 3, 1, 'maison', None]
eau@maison* ['eau', 3, 2, 'maison', None]
retour_r@maison ['retour_r', 3, 3, 'maison', 'accueil']
maison_r@accueil ['maison_r', 1, 1, 'accueil', 'maison']
fin@accueil* ['fin', 1, 2, 'accueil', 'extra_4092']
avion@accueil* ['avion', 1, 3, 'accueil', 'extra_3793']
nager@accueil ['nager', 2, 1, 'accueil', 'extra_2445']
livre@accueil* ['livre', 2, 2, 'accueil', None]
professeur@ecole* ['professeur', 1, 1, 'ecole', None]
devoir@ecole* ['devoir', 1, 2, 'ecole', None]
chaise@ecole ['chaise', 1, 3, 'ecole', None]
cahier@ecole* ['cahier', 2, 1, 'ecole', None]
je@ecole ['je', 2, 2, 'ecole', None]
garcon@ecole ['garcon', 2, 3, 'ecole', None]
je@ecole** ['je', 3, 1, 'ecole', None]
table@ecole ['table', 3, 2, 'ecole', None]
retour_r@ecole ['retour_r', 3, 3, 'ecole', 'accueil']
ecole_r@accueil* ['ecole_r', 2, 3, 'accueil', 'ecole']
toilette@accueil ['toilette', 3, 1, 'accueil', None]
bureau@accueil ['bureau', 3, 2, 'accueil', None]
homme@lieux ['homme', 1, 1, 'lieux', None]
priere@religion ['priere', 1, 1, 'religion', None]
voyager@religion ['voyager', 1, 2, 'religion', None]
eglise@religion ['eglise', 2, 1, 'religion', None]
train@religion ['train', 3, 2, 'religion', None]
retour_r@religion ['retour_r', 3, 3, 'religion', 'lieux']
religion_r@lieux ['religion_r', 1, 2, 'lieux', 'religion']
parc@lieux* ['parc', 1, 3, 'lieux', None]
femme@lieux ['femme', 2, 1, 'lieux', None]
infirmiere@hopital* ['infirmiere', 1, 2, 'hopital', None]
docteur@hopital* ['docteur', 1, 3, 'hopital', None]
pacient@hopital* ['pacient', 2, 1, 'hopital', None]
maladie@hopital* ['maladie', 2, 2, 'hopital', None]
train@hopital* ['train', 2, 3, 'hopital', None]
retour_r@hopital ['retour_r', 3, 3, 'hopital', 'lieux']
hopital_r@lieux* ['hopital_r', 2, 2, 'lieux', 'hopital']
plus_r@lieux ['plus_r', 2, 3, 'lieux', None]
universite@lieux* ['universite', 3, 1, 'lieux', None]
agence@lieux* ['agence', 3, 2, 'lieux', None]
retour_r@lieux ['retour_r', 3, 3, 'lieux', 'accueil']
lieux_r@accueil* ['lieux_r', 3, 3, 'accueil', 'lieux']
voiture@accueil ['voiture', 1, 3, 'religion', None]
cuisine@maison ['cuisine', 2, 2, 'religion', None]
chambre@maison ['chambre', 2, 3, 'religion', None]
savon@maison ['savon', 3, 1, 'religion', None]
eau@maison ['eau', 1, 1, 'hopital', None]
fin@accueil ['fin', 3, 1, 'hopital', None]
avion@accueil ['avion', 3, 2, 'hopital', None]
retour_r@extra_4092 ['retour_r', 3, 3, 'extra_4092', 'accueil']
voyager@accueil ['voyager', 1, 1, 'extra_4092', None]
livre@accueil ['livre', 1, 2, 'extra_4092', None]
ecole_r@accueil ['ecole_r', 1, 3, 'extra_4092', None]
professeur@ecole ['professeur', 2, 1, 'extra_4092', None]
devoir@ecole ['devoir', 2, 2, 'extra_4092', None]
cahier@ecole ['cahier', 2, 3, 'extra_4092', None]
je@ecole* ['je', 3, 1, 'extra_4092', None]
garcon@accueil ['garcon', 3, 2, 'extra_4092', None]
retour_r@extra_3793 ['retour_r', 3, 3, 'extra_3793', 'accueil']
table@accueil ['table', 1, 1, 'extra_3793', None]
lieux_r@accueil ['lieux_r', 1, 2, 'extra_3793', None]
parc@lieux ['parc', 1, 3, 'extra_3793', None]
hopital_r@lieux ['hopital_r', 2, 1, 'extra_3793', None]
infirmiere@hopital ['infirmiere', 2, 2, 'extra_3793', None]
docteur@hopital ['docteur', 2, 3, 'extra_3793', None]
pacient@hopital ['pacient', 3, 1, 'extra_3793', None]
maladie@hopital ['maladie', 3, 2, 'extra_3793', None]
retour_r@extra_2445 ['retour_r', 3, 3, 'extra_2445', 'accueil']
train@hopital ['train', 1, 1, 'extra_2445', None]
universite@lieux ['universite', 1, 2, 'extra_2445', None]
agence@lieux ['agence', 1, 3, 'extra_2445', None]
